Balancing,Kappa,Dataset,F-Measure,FN,FP,Classifier,# Training Releases,Test Defective %,AUC,Feature Selection,Sensitivity,Accuracy,Precision,FP Rate,Training Defective %,TN,Recall,Training %,TP,TP Rate,Test Release
false,-0.016672150926839574,BOOKKEEPER,0.0,19.0,4.0,NaiveBayes,2.0,0.20347394540942929,0.4947916666666667,false,SensitiveThreshold,0.9429280397022333,0.0,0.010416666666666666,0.16837782340862423,380.0,0.0,0.547191011235955,0.0,0.0,3.0
false,-0.03087885985748189,BOOKKEEPER,0.03448275862068966,18.0,38.0,IBk,2.0,0.20347394540942929,0.47683662280701755,false,SensitiveThreshold,0.8610421836228288,0.02564102564102564,0.09895833333333333,0.16837782340862423,346.0,0.05263157894736842,0.547191011235955,1.0,0.05263157894736842,3.0
false,0.0,BOOKKEEPER,NaN,19.0,0.0,RandomForest,2.0,0.20347394540942929,0.5,false,SensitiveThreshold,0.9528535980148883,NaN,0.0,0.16837782340862423,384.0,0.0,0.547191011235955,0.0,0.0,3.0
false,0.247187770406692,BOOKKEEPER,0.2857142857142857,7.0,13.0,NaiveBayes,1.0,0.2720306513409962,0.6558181818181819,false,SensitiveThreshold,0.9233716475095786,0.23529411764705882,0.052,0.31555555555555553,237.0,0.36363636363636365,0.46296296296296297,4.0,0.36363636363636365,2.0
false,0.08058124174372511,BOOKKEEPER,0.14285714285714285,7.0,41.0,IBk,1.0,0.2720306513409962,0.5998181818181818,false,SensitiveThreshold,0.8160919540229885,0.08888888888888889,0.164,0.31555555555555553,209.0,0.36363636363636365,0.46296296296296297,4.0,0.36363636363636365,2.0
false,-0.007073954983923397,BOOKKEEPER,0.0,11.0,1.0,RandomForest,1.0,0.2720306513409962,0.498,false,SensitiveThreshold,0.9540229885057471,0.0,0.004,0.31555555555555553,249.0,0.0,0.46296296296296297,0.0,0.0,2.0
false,-0.010871042261176323,BOOKKEEPER,0.0,40.0,3.0,NaiveBayes,4.0,0.2774566473988439,0.4968684759916493,false,SensitiveThreshold,0.9171483622350673,0.0,0.006263048016701462,0.10271041369472182,476.0,0.0,0.7298282144716294,0.0,0.0,5.0
false,0.1811531841652323,BOOKKEEPER,0.25,29.0,37.0,IBk,4.0,0.2774566473988439,0.5988778705636744,false,SensitiveThreshold,0.8728323699421965,0.22916666666666666,0.07724425887265135,0.10271041369472182,442.0,0.275,0.7298282144716294,11.0,0.275,5.0
false,0.0,BOOKKEEPER,NaN,40.0,0.0,RandomForest,4.0,0.2774566473988439,0.5,false,SensitiveThreshold,0.9229287090558767,NaN,0.0,0.10271041369472182,479.0,0.0,0.7298282144716294,0.0,0.0,5.0
false,-0.051583141119731564,BOOKKEEPER,0.0,41.0,18.0,NaiveBayes,3.0,0.2,0.47875604555619117,false,SensitiveLearning,0.8843137254901962,0.0,0.03837953091684435,0.11447811447811448,451.0,0.0,0.6359743040685225,0.0,0.0,4.0
false,-0.017787418655097323,BOOKKEEPER,0.0,41.0,5.0,IBk,3.0,0.2,0.4946695095948827,false,SensitiveLearning,0.9098039215686274,0.0,0.010660980810234541,0.11447811447811448,464.0,0.0,0.6359743040685225,0.0,0.0,4.0
false,0.0,BOOKKEEPER,NaN,41.0,0.0,RandomForest,3.0,0.2,0.5,false,SensitiveLearning,0.9196078431372549,NaN,0.0,0.11447811447811448,469.0,0.0,0.6359743040685225,0.0,0.0,4.0
false,0.04757243539545651,BOOKKEEPER,0.05405405405405405,34.0,1.0,NaiveBayes,5.0,0.3327338129496403,0.7261584864272005,false,SensitiveLearning,0.9370503597122303,0.5,0.0019193857965451055,0.09625390218522373,520.0,0.02857142857142857,0.7756255044390638,1.0,0.02857142857142857,6.0
false,0.34123222748815196,BOOKKEEPER,0.3908045977011494,18.0,35.0,IBk,5.0,0.3327338129496403,0.7092678914176035,false,SensitiveLearning,0.9046762589928058,0.3269230769230769,0.0671785028790787,0.09625390218522373,486.0,0.4857142857142857,0.7756255044390638,17.0,0.4857142857142857,6.0
false,0.0,BOOKKEEPER,NaN,35.0,0.0,RandomForest,5.0,0.3327338129496403,0.5,false,SensitiveLearning,0.9370503597122303,NaN,0.0,0.09625390218522373,521.0,0.0,0.7756255044390638,0.0,0.0,6.0
false,-0.016672150926839574,BOOKKEEPER,0.0,19.0,4.0,NaiveBayes,2.0,0.20347394540942929,0.5530427631578947,false,SensitiveLearning,0.9429280397022333,0.0,0.010416666666666666,0.16837782340862423,380.0,0.0,0.547191011235955,0.0,0.0,3.0
false,-0.03087885985748189,BOOKKEEPER,0.03448275862068966,18.0,38.0,IBk,2.0,0.20347394540942929,0.47683662280701755,false,SensitiveLearning,0.8610421836228288,0.02564102564102564,0.09895833333333333,0.16837782340862423,346.0,0.05263157894736842,0.547191011235955,1.0,0.05263157894736842,3.0
false,0.0,BOOKKEEPER,NaN,19.0,0.0,RandomForest,2.0,0.20347394540942929,0.5,false,SensitiveLearning,0.9528535980148883,NaN,0.0,0.16837782340862423,384.0,0.0,0.547191011235955,0.0,0.0,3.0
false,0.247187770406692,BOOKKEEPER,0.2857142857142857,7.0,13.0,NaiveBayes,1.0,0.2720306513409962,0.6672727272727272,false,SensitiveLearning,0.9233716475095786,0.23529411764705882,0.052,0.31555555555555553,237.0,0.36363636363636365,0.46296296296296297,4.0,0.36363636363636365,2.0
false,0.08058124174372511,BOOKKEEPER,0.14285714285714285,7.0,41.0,IBk,1.0,0.2720306513409962,0.5998181818181818,false,SensitiveLearning,0.8160919540229885,0.08888888888888889,0.164,0.31555555555555553,209.0,0.36363636363636365,0.46296296296296297,4.0,0.36363636363636365,2.0
false,-0.007073954983923397,BOOKKEEPER,0.0,11.0,1.0,RandomForest,1.0,0.2720306513409962,0.498,false,SensitiveLearning,0.9540229885057471,0.0,0.004,0.31555555555555553,249.0,0.0,0.46296296296296297,0.0,0.0,2.0
false,-0.010871042261176323,BOOKKEEPER,0.0,40.0,3.0,NaiveBayes,4.0,0.2774566473988439,0.7005741127348643,false,SensitiveLearning,0.9171483622350673,0.0,0.006263048016701462,0.10271041369472182,476.0,0.0,0.7298282144716294,0.0,0.0,5.0
false,0.1811531841652323,BOOKKEEPER,0.25,29.0,37.0,IBk,4.0,0.2774566473988439,0.5988778705636744,false,SensitiveLearning,0.8728323699421965,0.22916666666666666,0.07724425887265135,0.10271041369472182,442.0,0.275,0.7298282144716294,11.0,0.275,5.0
false,0.0,BOOKKEEPER,NaN,40.0,0.0,RandomForest,4.0,0.2774566473988439,0.5,false,SensitiveLearning,0.9229287090558767,NaN,0.0,0.10271041369472182,479.0,0.0,0.7298282144716294,0.0,0.0,5.0
